time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-01-27 20:00:00,23485.53,23038.87,23255.1,7732.3,179903954.6,23115.09,direct,,2023-01-27
2023-01-27 21:00:00,23199.85,23071.09,23115.09,3402.18,78720069.05,23094.1,direct,,2023-01-27
2023-01-27 22:00:00,23102.08,22984.58,23094.1,1866.96,43000049.05,23008.97,direct,,2023-01-27
2023-01-27 23:00:00,23087.04,23007.25,23008.97,980.67,22614025.71,23077.75,direct,,2023-01-27
2023-01-28 00:00:00,23181.57,23053.4,23077.75,1405.21,32489491.98,23157.26,direct,,2023-01-28
2023-01-28 01:00:00,23174.25,23086.93,23157.26,905.22,20929938.89,23095.22,direct,,2023-01-28
2023-01-28 02:00:00,23129.69,23076.15,23095.22,705.03,16286722.52,23095.62,direct,,2023-01-28
2023-01-28 03:00:00,23144.35,23089.04,23095.62,478.69,11063416.25,23123.09,direct,,2023-01-28
2023-01-28 04:00:00,23134.45,23087.27,23123.09,544.14,12575937.82,23093.84,direct,,2023-01-28
2023-01-28 05:00:00,23111.61,23036.2,23093.84,820.45,18925648.61,23070.08,direct,,2023-01-28
2023-01-28 06:00:00,23082.78,23023.22,23070.08,748.77,17255221.32,23048.04,direct,,2023-01-28
2023-01-28 07:00:00,23048.2,22964.81,23048.04,937.05,21546842.26,22995.61,direct,,2023-01-28
2023-01-28 08:00:00,23018.3,22963.99,22995.61,691.33,15894430.79,22985.19,direct,,2023-01-28
2023-01-28 09:00:00,23018.5,22940.73,22985.19,1074.04,24684929.7,23001.98,direct,,2023-01-28
2023-01-28 10:00:00,23014.44,22966.5,23001.98,788.48,18128079.68,22983.31,direct,,2023-01-28
2023-01-28 11:00:00,23001.07,22949.06,22983.31,879.28,20192865.81,22986.59,direct,,2023-01-28
2023-01-28 12:00:00,22987.13,22928.41,22986.59,847.41,19452678.2,22959.1,direct,,2023-01-28
2023-01-28 13:00:00,22978.22,22895.7,22959.1,1647.5,37779632.79,22975.63,direct,,2023-01-28
2023-01-28 14:00:00,22983.62,22957.37,22975.63,676.61,15542169.03,22957.88,direct,,2023-01-28
2023-01-28 15:00:00,23043.37,22948.06,22957.88,1285.62,29581709.49,23018.22,direct,,2023-01-28
2023-01-28 16:00:00,23050.41,23013.55,23018.22,650.45,14982075.33,23025.59,direct,,2023-01-28
2023-01-28 17:00:00,23033.19,22986.38,23025.59,714.62,16442177.21,23024.72,direct,,2023-01-28
2023-01-28 18:00:00,23031.46,22989.03,23024.72,492.26,11326610.6,23002.25,direct,,2023-01-28
2023-01-28 19:00:00,23047.11,22999.86,23002.25,503.25,11591598.68,23043.44,direct,,2023-01-28
2023-01-28 20:00:00,23045.95,22969.52,23043.44,907.67,20877765.54,22971.01,direct,,2023-01-28
2023-01-28 21:00:00,23011.66,22956.86,22971.01,744.28,17111058.5,23006.78,direct,,2023-01-28
2023-01-28 22:00:00,23019.13,22985.67,23006.78,1205.39,27724223.94,22985.96,direct,,2023-01-28
2023-01-28 23:00:00,23034.57,22973.7,22985.96,577.04,13271660.71,23031.02,direct,,2023-01-28
2023-01-29 00:00:00,23144.67,22981.04,23031.02,1661.06,38321215.68,23119.02,direct,,2023-01-29
2023-01-29 01:00:00,23476.29,23118.64,23119.02,5845.6,136349470.49,23243.27,direct,,2023-01-29
2023-01-29 02:00:00,23277.29,23076.7,23243.27,3319.57,76887192.4,23143.9,direct,,2023-01-29
2023-01-29 03:00:00,23200.08,23113.67,23143.9,830.96,19242742.77,23195.01,direct,,2023-01-29
2023-01-29 04:00:00,23237.52,23160.85,23195.01,1001.32,23229585.01,23229.38,direct,,2023-01-29
2023-01-29 05:00:00,23251.17,23198.06,23229.38,675.72,15692901.17,23249.74,direct,,2023-01-29
2023-01-29 06:00:00,23261.2,23193.47,23249.74,643.71,14951541.33,23202.7,direct,,2023-01-29
2023-01-29 07:00:00,23219.45,23186.14,23202.7,478.73,11107011.19,23206.94,direct,,2023-01-29
2023-01-29 08:00:00,23223.24,23165.83,23206.94,531.66,12329444.47,23173.97,direct,,2023-01-29
2023-01-29 09:00:00,23366.61,23167.74,23173.97,2248.32,52372329.95,23294.81,direct,,2023-01-29
2023-01-29 10:00:00,23491.72,23293.43,23294.81,4138.77,97046543.13,23448.79,direct,,2023-01-29
2023-01-29 11:00:00,23578.17,23300.35,23448.79,3355.56,78601431.87,23432.98,direct,,2023-01-29
2023-01-29 12:00:00,23531.0,23362.4,23432.98,1986.28,46568896.33,23480.82,direct,,2023-01-29
2023-01-29 13:00:00,23620.03,23467.82,23480.82,3248.27,76550285.55,23540.03,direct,,2023-01-29
2023-01-29 14:00:00,23586.65,23440.94,23540.03,2327.95,54719449.63,23541.49,direct,,2023-01-29
2023-01-29 15:00:00,23548.5,23480.34,23541.49,1285.41,30233272.8,23529.6,direct,,2023-01-29
2023-01-29 16:00:00,23641.22,23484.39,23529.6,2205.06,51928790.79,23590.27,direct,,2023-01-29
2023-01-29 17:00:00,23639.25,23556.63,23590.27,2163.13,51054472.38,23594.58,direct,,2023-01-29
2023-01-29 18:00:00,23745.63,23548.41,23594.58,3636.89,86046965.87,23684.76,direct,,2023-01-29
2023-01-29 19:00:00,23948.42,23668.08,23684.76,5692.37,135667084.32,23905.31,direct,,2023-01-29
2023-01-29 20:00:00,23909.25,23662.82,23905.31,4307.96,102399245.72,23702.31,direct,,2023-01-29
2023-01-29 21:00:00,23824.25,23663.31,23702.31,2251.06,53478799.87,23798.29,direct,,2023-01-29
2023-01-29 22:00:00,23818.46,23726.25,23798.29,1269.14,30178248.5,23762.97,direct,,2023-01-29
2023-01-29 23:00:00,23875.29,23734.32,23762.97,2588.59,61600623.93,23747.26,direct,,2023-01-29
2023-01-30 00:00:00,23796.62,23689.56,23747.26,2170.41,51530463.43,23757.37,direct,,2023-01-30
2023-01-30 01:00:00,23764.51,23634.24,23757.37,2284.76,54093175.71,23669.81,direct,,2023-01-30
2023-01-30 02:00:00,23671.39,23587.32,23669.81,1987.99,46961730.44,23642.87,direct,,2023-01-30
2023-01-30 03:00:00,23700.8,23628.61,23642.87,931.54,22043673.06,23700.8,direct,,2023-01-30
2023-01-30 04:00:00,23761.79,23697.13,23700.8,1105.87,26244801.25,23714.12,direct,,2023-01-30
2023-01-30 05:00:00,23728.5,23670.66,23714.12,899.06,21304748.36,23728.15,direct,,2023-01-30
2023-01-30 06:00:00,23739.12,23669.53,23728.15,882.71,20927213.45,23695.46,direct,,2023-01-30
2023-01-30 07:00:00,23702.77,23609.91,23695.46,1132.21,26777363.86,23648.93,direct,,2023-01-30
2023-01-30 08:00:00,23673.91,23526.09,23648.93,2433.98,57403584.7,23553.03,direct,,2023-01-30
2023-01-30 09:00:00,23553.03,23146.55,23553.03,7575.75,176494503.86,23192.57,direct,,2023-01-30
2023-01-30 10:00:00,23301.08,23124.28,23192.57,3478.26,80811955.19,23240.77,direct,,2023-01-30
2023-01-30 11:00:00,23273.04,23057.36,23240.77,4827.73,111761892.64,23089.3,direct,,2023-01-30
2023-01-30 12:00:00,23150.87,22990.0,23089.3,6224.44,143628694.61,23078.12,direct,,2023-01-30
2023-01-30 13:00:00,23125.66,23052.93,23078.12,1993.12,46027102.31,23059.88,direct,,2023-01-30
2023-01-30 14:00:00,23286.22,23038.45,23059.88,3793.05,87906915.91,23285.1,direct,,2023-01-30
