time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-01-27 20:00:00,1621.71,1593.44,1610.06,39208.49,63089508.33,1599.33,direct,,2023-01-27
2023-01-27 21:00:00,1606.0,1596.97,1599.33,13756.91,22030299.97,1599.41,direct,,2023-01-27
2023-01-27 22:00:00,1599.96,1589.4,1599.41,12836.92,20458464.9,1593.28,direct,,2023-01-27
2023-01-27 23:00:00,1600.01,1593.19,1593.28,9557.23,15267088.7,1597.86,direct,,2023-01-27
2023-01-28 00:00:00,1606.66,1594.52,1597.86,15131.13,24225263.73,1604.33,direct,,2023-01-28
2023-01-28 01:00:00,1605.19,1595.3,1604.33,11052.48,17676505.32,1595.79,direct,,2023-01-28
2023-01-28 02:00:00,1598.95,1593.3,1595.79,7774.47,12408769.02,1596.37,direct,,2023-01-28
2023-01-28 03:00:00,1600.54,1595.96,1596.37,5659.89,9044521.43,1599.28,direct,,2023-01-28
2023-01-28 04:00:00,1602.83,1598.84,1599.28,6281.67,10053445.43,1599.59,direct,,2023-01-28
2023-01-28 05:00:00,1603.49,1597.16,1599.59,9122.53,14593269.08,1600.4,direct,,2023-01-28
2023-01-28 06:00:00,1600.69,1593.23,1600.4,7662.08,12232384.43,1597.74,direct,,2023-01-28
2023-01-28 07:00:00,1598.01,1587.02,1597.74,10618.07,16906463.44,1593.17,direct,,2023-01-28
2023-01-28 08:00:00,1594.35,1587.13,1593.17,11235.68,17882706.89,1587.54,direct,,2023-01-28
2023-01-28 09:00:00,1594.26,1587.01,1587.54,10858.07,17271757.99,1592.65,direct,,2023-01-28
2023-01-28 10:00:00,1592.65,1581.98,1592.65,22427.81,35564633.17,1584.87,direct,,2023-01-28
2023-01-28 11:00:00,1587.13,1581.1,1584.87,9715.95,15391943.3,1586.59,direct,,2023-01-28
2023-01-28 12:00:00,1586.66,1580.41,1586.59,10943.13,17325199.07,1583.16,direct,,2023-01-28
2023-01-28 13:00:00,1583.16,1563.91,1583.16,33590.03,52792119.81,1573.67,direct,,2023-01-28
2023-01-28 14:00:00,1574.61,1570.66,1573.67,9674.64,15218006.26,1571.05,direct,,2023-01-28
2023-01-28 15:00:00,1580.7,1568.8,1571.05,13233.68,20862437.17,1578.87,direct,,2023-01-28
2023-01-28 16:00:00,1580.88,1576.81,1578.87,9582.81,15131529.77,1578.21,direct,,2023-01-28
2023-01-28 17:00:00,1579.67,1571.14,1578.21,11455.01,18041870.25,1576.9,direct,,2023-01-28
2023-01-28 18:00:00,1577.53,1571.27,1576.9,6940.15,10923189.83,1573.07,direct,,2023-01-28
2023-01-28 19:00:00,1578.75,1572.58,1573.07,6185.53,9754071.89,1577.58,direct,,2023-01-28
2023-01-28 20:00:00,1577.88,1562.35,1577.58,12211.33,19167789.85,1562.92,direct,,2023-01-28
2023-01-28 21:00:00,1569.99,1558.63,1562.92,14329.91,22434670.61,1567.6,direct,,2023-01-28
2023-01-28 22:00:00,1568.72,1562.4,1567.6,10394.86,16273550.75,1565.21,direct,,2023-01-28
2023-01-28 23:00:00,1574.13,1562.85,1565.21,9462.23,14845337.95,1572.46,direct,,2023-01-28
2023-01-29 00:00:00,1587.56,1566.99,1572.46,21732.01,34305953.32,1585.0,direct,,2023-01-29
2023-01-29 01:00:00,1618.35,1585.0,1585.0,54511.75,87606892.45,1603.47,direct,,2023-01-29
2023-01-29 02:00:00,1606.97,1585.18,1603.47,26604.64,42379174.06,1592.15,direct,,2023-01-29
2023-01-29 03:00:00,1595.37,1588.94,1592.15,10186.8,16218867.89,1594.61,direct,,2023-01-29
2023-01-29 04:00:00,1599.11,1592.74,1594.61,8932.16,14251806.68,1598.22,direct,,2023-01-29
2023-01-29 05:00:00,1599.64,1594.36,1598.22,8012.83,12792022.81,1597.59,direct,,2023-01-29
2023-01-29 06:00:00,1598.14,1593.17,1597.59,8135.81,12981864.56,1594.3,direct,,2023-01-29
2023-01-29 07:00:00,1595.44,1588.91,1594.3,8604.27,13699612.4,1592.66,direct,,2023-01-29
2023-01-29 08:00:00,1595.19,1589.71,1592.66,8269.45,13166533.44,1590.78,direct,,2023-01-29
2023-01-29 09:00:00,1604.72,1590.27,1590.78,16463.89,26329449.89,1600.56,direct,,2023-01-29
2023-01-29 10:00:00,1614.83,1600.51,1600.56,17990.97,28947391.49,1611.84,direct,,2023-01-29
2023-01-29 11:00:00,1616.6,1599.28,1611.84,20506.34,32942160.6,1609.24,direct,,2023-01-29
2023-01-29 12:00:00,1613.23,1604.08,1609.24,14285.85,22979186.36,1611.54,direct,,2023-01-29
2023-01-29 13:00:00,1624.48,1610.27,1611.54,25125.88,40623286.53,1613.23,direct,,2023-01-29
2023-01-29 14:00:00,1616.2,1606.33,1613.23,19519.39,31454740.7,1615.49,direct,,2023-01-29
2023-01-29 15:00:00,1616.31,1610.36,1615.49,16221.63,26175041.41,1611.9,direct,,2023-01-29
2023-01-29 16:00:00,1617.67,1605.94,1611.9,19530.52,31485463.76,1614.38,direct,,2023-01-29
2023-01-29 17:00:00,1621.65,1611.79,1614.38,20445.02,33051594.94,1617.96,direct,,2023-01-29
2023-01-29 18:00:00,1632.86,1614.54,1617.96,26037.64,42288364.92,1629.47,direct,,2023-01-29
2023-01-29 19:00:00,1658.36,1628.85,1629.47,56425.16,92968142.8,1654.19,direct,,2023-01-29
2023-01-29 20:00:00,1655.02,1630.84,1654.19,38977.94,64064743.14,1635.72,direct,,2023-01-29
2023-01-29 21:00:00,1647.12,1633.56,1635.72,18069.88,29640403.13,1643.42,direct,,2023-01-29
2023-01-29 22:00:00,1645.12,1640.61,1643.42,9704.91,15948011.57,1642.78,direct,,2023-01-29
2023-01-29 23:00:00,1653.97,1641.91,1642.78,27795.15,45795593.58,1645.46,direct,,2023-01-29
2023-01-30 00:00:00,1647.09,1636.65,1645.46,20802.46,34166088.14,1645.97,direct,,2023-01-30
2023-01-30 01:00:00,1647.19,1634.15,1645.97,15254.39,25010146.0,1638.51,direct,,2023-01-30
2023-01-30 02:00:00,1638.71,1632.12,1638.51,15933.54,26050444.77,1635.75,direct,,2023-01-30
2023-01-30 03:00:00,1638.55,1634.42,1635.75,11200.62,18328394.97,1638.09,direct,,2023-01-30
2023-01-30 04:00:00,1641.3,1635.03,1638.09,11806.2,19347576.63,1636.17,direct,,2023-01-30
2023-01-30 05:00:00,1636.51,1632.27,1636.17,10334.53,16889346.67,1635.96,direct,,2023-01-30
2023-01-30 06:00:00,1636.64,1626.79,1635.96,14015.75,22872999.16,1629.9,direct,,2023-01-30
2023-01-30 07:00:00,1631.8,1622.65,1629.9,13240.44,21543127.69,1627.78,direct,,2023-01-30
2023-01-30 08:00:00,1630.01,1616.24,1627.78,18553.27,30103434.33,1620.3,direct,,2023-01-30
2023-01-30 09:00:00,1620.6,1582.96,1620.3,49535.45,79160918.03,1588.2,direct,,2023-01-30
2023-01-30 10:00:00,1595.65,1579.24,1588.2,32292.24,51298538.31,1585.51,direct,,2023-01-30
2023-01-30 11:00:00,1588.75,1579.92,1585.51,25755.37,40813225.84,1582.2,direct,,2023-01-30
2023-01-30 12:00:00,1584.85,1570.7,1582.2,39528.65,62391160.89,1577.66,direct,,2023-01-30
2023-01-30 13:00:00,1581.55,1576.43,1577.66,17862.78,28206445.58,1577.44,direct,,2023-01-30
