b'tictoknextblock',319,2023-04-19 23:33:03+00:00,"b'  Block 786171    \n\n  19th Apr 2023, 23:32:14 GMT\n\n  1,108 tx with a value of 3,349.037 \xe2\x82\xbf ($96.09m  )\n\n  distribut\xe2\x80\xa6 https://t.co/feA7SmKrEx'",1648832111451979776,"b' Block \n\n th Apr , :32:14 GMT\n\n tx with a value of \xe2\x82\xbf ($96.09m )\n\n distribut\xe2\x80\xa6 '"
b'Guille \xe2\x9a\xa0\xef\xb8\x8f\xf0\x9f\x89\x90',134,2023-04-19 23:31:34+00:00,b'RT @p0melaus: Giveaway $100.00! #Bitcoin       \n\nRt y fav.   \nFollow @RoobetES\nFollow me in https://t.co/MchjRvDXi2\nTag two friends! https:\xe2\x80\xa6',1648831735889555458,b'RT : Giveaway $100.00! \n\nRt y fav. \nFollow \nFollow me in two friends! httpsxe2\x80\xa6'
b'\xe3\x83\xbedisya',363,2023-04-19 23:30:19+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648831422113943555,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'\xf0\x9f\x87\xb8\xf0\x9f\x87\xbb El Salvador Bitcoin Day Index \xf0\x9f\x87\xb8\xf0\x9f\x87\xbb',506,2023-04-19 23:30:04+00:00,"b'30 USD on #ElSalvador #BitcoinDay got you 63,900 sat. \nNow 63,900 sat are 18.37 USD (-38.76%)\n\n1 BTC = 28,750.80 US\xe2\x80\xa6 https://t.co/19H539YZDC'",1648831358377050112,b'30 USD on got you sat. \nNow sat are USD (-38.76%)\n\n1 BTC = US\xe2\x80\xa6 '
b'\xe2\x80\xbc\xef\xb8\x8fLIVE FEED\xe2\x80\xbc\xef\xb8\x8f#SilverisMoney Patriot on #Telegram',4629,2023-04-19 23:29:57+00:00,b'#BITCOIN CRASHES DOWN $1700.00\n\nGOT SILVER?\nGOT GOLD?\nGOT #MiningStocks ?\n\nSee you at #SilverisMoney on Telegram. https://t.co/B6RbzB6n92',1648831328463511552,b' CRASHES DOWN $1700.00\n\nGOT SILVER?\nGOT GOLD?\nGOT ?\n\nSee you at on Telegram. '
b'Wee Blue Ghost',467,2023-04-19 23:27:50+00:00,"b'- \nBTC price: $28,781 / \xc2\xa324,049 \n\n34.74 Naks per USD\n41.58 Naks per GBP\n \n\U0002B07 \n\nA #Nak is a millionth of a\xe2\x80\xa6 https://t.co/mZdhlFkIKE'",1648830796298371072,"b'- \nBTC price: $28,781 / \xc2\xa324,049 \n\n34.74 Naks per USD\n41.58 Naks per GBP\n \n\U0002B07 \n\nA is a millionth of a\xe2\x80\xa6 '"
b'lowkey \xe2\x99\xaa freetag',2351,2023-04-19 23:14:56+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648827550620340225,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Wee Blue Ghost',467,2023-04-19 23:14:45+00:00,"b'- \nBTC price: $28,969 / \xc2\xa324,206 \n\n34.52 Naks per USD\n41.31 Naks per GBP\n \n\U0002B07 \n\nOne #Bitcoin = one million\xe2\x80\xa6 https://t.co/i3YCVYskgL'",1648827505992769537,"b'- \nBTC price: $28,969 / \xc2\xa324,206 \n\n34.52 Naks per USD\n41.31 Naks per GBP\n \n\U0002B07 \n\nOne = one million\xe2\x80\xa6 '"
b'Hayat Bretz',32,2023-04-19 23:13:46+00:00,"b'At 09:00 bst, bitcoin (btc) lost $30,000, sinking as low as $29,010 at the time of press. Bears continue piling on\xe2\x80\xa6 https://t.co/vPjUq504vQ'",1648827256280850432,"b'At :00 bst, bitcoin (btc) lost $30,000, sinking as low as $29,010 at the time of press. Bears continue piling on\xe2\x80\xa6 '"
b'Iaan \xe2\x9a\x93\xef\xb8\x8f',201,2023-04-19 23:10:22+00:00,b'RT @p0melaus: Giveaway $100.00! #Bitcoin       \n\nRt y fav.   \nFollow @RoobetES\nFollow me in https://t.co/MchjRvDXi2\nTag two friends! https:\xe2\x80\xa6',1648826403046182912,b'RT : Giveaway $100.00! \n\nRt y fav. \nFollow \nFollow me in two friends! httpsxe2\x80\xa6'
